Author 1,Author 2,Author 3,Author 4,Author 5,Author 6,Author 7,Author 8,Author 9,Author 10,Author(s) ID,Title,Year,Source title,Cited by,DOI,Link,Country 1,Country 2,Country 3,Country 4,Country 5,Country 6,Country 7,Country 8,Country 9,Country 10,Country 11,Country 12,Country 13,Country 14,Country 15,Country 16,Country 17,Country 18,University 1,University 2,University 3,University 4,University 5,University 6,University 7,University 8,University 9,University 10,University 11,University 12,University 13,University 14,University 15,University 16,University 17,University 18,Author with Affliliation 1,Author with Affliliation 2,Author with Affliliation 3,Author with Affliliation 4,Author with Affliliation 5,Author with Affliliation 6,Author with Affliliation 7,Author with Affliliation 8,Author with Affliliation 9,Author with Affliliation 10,Document Type,Publication Stage,Source,EID
"Suresh, Sudeep (58038816600)","Thiruchelvam, Vinesh A.L. (55697499000)",,,,,,,,,58038816600; 55697499000,Overcoming Digital Transformation Obstacles Dampening Marginal Offshore Field Operations,2024,Lecture Notes in Electrical Engineering,0,10.1007/978-981-97-2977-7_35,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204394436&doi=10.1007%2F978-981-97-2977-7_35&partnerID=40&md5=4ad1352675e77a81accebc4c92a8c1b9,Malaysia,,,,,,,,,,,,,,,,,,Asia Pacific University of Technology and Innovation,,,,,,,,,,,,,,,,,,Sudeep Suresh - Asia Pacific University of Technology and Innovation,Vinesh A.L. Thiruchelvam - Asia Pacific University of Technology and Innovation,,,,,,,,,Conference paper,Final,Scopus,2-s2.0-85204394436
"Tee, Poh Kiong (57191344245)","Song, Bee Lian (57191404082)","Ho, Mingkang (59334535200)","Wong, Ling Chai (57982971200)","Lim, Kim Yew (57214124321)",,,,,,57191344245; 57191404082; 59334535200; 57982971200; 57214124321,"Bridging the gaps in digital skills: Employer insights on digital skill demands, micro-credentials, and graduate employability",2024,"Journal of Infrastructure, Policy and Development",1,10.24294/jipd.v8i9.7313,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204347272&doi=10.24294%2Fjipd.v8i9.7313&partnerID=40&md5=4c3304e8bcbef8446312412fab6d7fac,Malaysia,Malaysia,Malaysia,,,,,,,,,,,,,,,,Asia Pacific University of Technology and Innovation,Universiti Malaysia Sabah,INTI International University,,,,,,,,,,,,,,,,Poh Kiong Tee - Kuala Lumpur,Bee Lian Song - Kuala Lumpur,Mingkang Ho - Kuala Lumpur,Ling Chai Wong - Kota Kinabalu,Kim Yew Lim - Nilai,,,,,,Article,Final,Scopus,2-s2.0-85204347272
"Ting, Tin Tin (57200336188)","Lee, Kuok Tiung (35076497700)","En, Joshua Koh Min (59328280500)","Fen, Shiachai (59328028000)","Sheng, Lai Chee (59327646900)","Ze, Limkye (59328405300)","Hao, Wong Wei (59328529800)","Aitizaz, Ali (58637067800)","Almaiah, Mohammed Amin (56682869700)",,57200336188; 35076497700; 59328280500; 59328028000; 59327646900; 59328405300; 59328529800; 58637067800; 56682869700,Educational Big Data Analytic – A Mediation Analysis of the Covariates of Academic Performance,2024,Pakistan Journal of Life and Social Sciences,2,10.57239/PJLSS-2024-22.2.00191,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204007557&doi=10.57239%2FPJLSS-2024-22.2.00191&partnerID=40&md5=4defcbc61414519e5468fcbff2427eeb,Malaysia,Malaysia,Malaysia,Malaysia,Jordan,,,,,,,,,,,,,,INTI International University,Universiti Malaysia Sabah,Tunku Abdul Rahman University of Management and Technology,Asia Pacific University of Technology and Innovation,The University of Jordan,,,,,,,,,,,,,,Tin Tin Ting - INTI International University,Kuok Tiung Lee - Universiti Malaysia Sabah,Joshua Koh Min En - Tunku Abdul Rahman University of Management and Technology,Shiachai Fen - Tunku Abdul Rahman University of Management and Technology,Lai Chee Sheng - Tunku Abdul Rahman University of Management and Technology,Limkye Ze - Tunku Abdul Rahman University of Management and Technology,Wong Wei Hao - Tunku Abdul Rahman University of Management and Technology,Ali Aitizaz - Asia Pacific University of Technology and Innovation,Mohammed Amin Almaiah - Amman,,Article,Final,Scopus,2-s2.0-85204007557
"Khalifa, Gamal Sayed Ahmed (57190741223)","Elshaer, Abdallah M. (57220128393)","El-Aidie, Safaa A.M. (57196422228)","Yee, Angelina Seow Voon (57874446200)","Farhan, Ayda Farouq (57209504357)","Hacine Gherbi, Elhachemi Abdelkader (57222422373)",,,,,57190741223; 57220128393; 57196422228; 57874446200; 57209504357; 57222422373,ChatGPT's challenges and opportunities in higher education: a technology-user(s)-environment lens,2024,International Journal of Management in Education,3,10.1504/IJMIE.2024.140898,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203459402&doi=10.1504%2FIJMIE.2024.140898&partnerID=40&md5=b8f3a6627c39f3eb03fce949b251fe7e,United Arab Emirates,Egypt,Egypt,Egypt,Malaysia,,,,,,,,,,,,,,HCT-Abu Dhabi Baniyas Campus,Faculty of Tourism and Hotels,Faculty of Tourism and Hotels,Animal Production Research Institute (APRI),Asia Pacific University of Technology and Innovation,,,,,,,,,,,,,,Gamal Sayed Ahmed Khalifa - HCT-Abu Dhabi Baniyas Campus,Abdallah M. Elshaer - Sadat City,Safaa A.M. El-Aidie - Giza,Angelina Seow Voon Yee - Kuala Lumpur,Ayda Farouq Farhan - HCT-Abu Dhabi Baniyas Campus,Elhachemi Abdelkader Hacine Gherbi - HCT-Abu Dhabi Baniyas Campus,,,,,Article,Final,Scopus,2-s2.0-85203459402
"Song, Bee Lian (57191404082)","Liew, Chee Yoong (57218704074)","Subramaniam, Muthaloo (57201376568)","Ahamad, Salwa (59316549500)",,,,,,,57191404082; 57218704074; 57201376568; 59316549500,"The effect of social media marketing on consumers' purchase intention of organic food: the role of perceived value, trust and social identity",2024,International Journal of Electronic Marketing and Retailing,1,10.1504/IJEMR.2024.140812,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203240716&doi=10.1504%2FIJEMR.2024.140812&partnerID=40&md5=bc4f5b4cd17a111fb129c6ec43120da5,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,,,,,,,,,,,,,,Asia Pacific University of Technology and Innovation,Mila University,UCSI University,Asia Metropolitan University,SEGi University,,,,,,,,,,,,,,Bee Lian Song - Asia Pacific University of Technology and Innovation,Chee Yoong Liew - UCSI University,Muthaloo Subramaniam - Asia Metropolitan University,Salwa Ahamad - SEGi University,,,,,,,Article,Final,Scopus,2-s2.0-85203240716
"Reaz, Mohammad Tawhid (58118750100)","Ribero, James Jacob (58510890300)","Dada, Morakinyo (57204889058)","Ekhowan, Ragib (59312483500)",,,,,,,58118750100; 58510890300; 57204889058; 59312483500,Prevalence of Red-Green Colour Vision Deficiency in Dhaka City and Developing a Localized CVD Diagnostic Tool,2024,"Studies in Systems, Decision and Control",0,10.1007/978-3-031-62106-2_66,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203050273&doi=10.1007%2F978-3-031-62106-2_66&partnerID=40&md5=42b637736cf2b592f7d7d4b56f56778c,Bangladesh,Malaysia,United Kingdom,,,,,,,,,,,,,,,,University of Liberal Arts Bangladesh,Asia Pacific University of Technology and Innovation,Save the Children Fund,,,,,,,,,,,,,,,,Mohammad Tawhid Reaz - Dhaka,James Jacob Ribero - Dhaka,Morakinyo Dada - Kuala Lumpur,Ragib Ekhowan - London,,,,,,,Book chapter,Final,Scopus,2-s2.0-85203050273
"Hammouch, Hind (55669992500)","Falahat, Mohammad (56940968000)","Najmi, Hossein (57216760695)",,,,,,,,55669992500; 56940968000; 57216760695,Impact of management control on the organizational performance,2024,"Journal of Infrastructure, Policy and Development",0,10.24294/jipd.v8i8.6910,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202912849&doi=10.24294%2Fjipd.v8i8.6910&partnerID=40&md5=2607ca971f9bb3a1caeadee1ab0dc9c3,Morocco,Malaysia,United States,,,,,,,,,,,,,,,,Université Sidi Mohamed Ben Abdellah,Asia Pacific University of Technology and Innovation,University of Central Oklahoma,,,,,,,,,,,,,,,,Hind Hammouch - Université Sidi Mohamed Ben Abdellah,Mohammad Falahat - Kuala Lumpur,Hossein Najmi - Edmond,,,,,,,,Article,Final,Scopus,2-s2.0-85202912849
"Ardebilpour, Milad Ahmadi (59309477200)","Amoozegar, Azadeh (57216587239)","Kerry, Patrick (59309983200)","Falahat, Mohammad (56940968000)",,,,,,,59309477200; 57216587239; 59309983200; 56940968000,Impact of organizational culture on employee commitment: Mediating role of employee engagement and perceived organizational support,2024,"Journal of Infrastructure, Policy and Development",1,10.24294/jipd.v8i8.4997,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202849427&doi=10.24294%2Fjipd.v8i8.4997&partnerID=40&md5=c66a0484f932f48b1fef3059ec4e3115,Malaysia,Malaysia,,,,,,,,,,,,,,,,,Limkokwing University of Creative Technology,Asia Pacific University of Technology and Innovation,,,,,,,,,,,,,,,,,Milad Ahmadi Ardebilpour - Limkokwing University of Creative Technology,Azadeh Amoozegar - Limkokwing University of Creative Technology,Patrick Kerry - Limkokwing University of Creative Technology,Mohammad Falahat - Asia Pacific University of Technology and Innovation,,,,,,,Article,Final,Scopus,2-s2.0-85202849427
"Hakimi, Halimaton (57205319654)","Nabilah, Anis (59304969900)",,,,,,,,,57205319654; 59304969900,Book Recommendation System (BRS) Using Collaboration Filtering Machine Learning,2024,"Studies in Systems, Decision and Control",0,10.1007/978-3-031-65203-5_85,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202530730&doi=10.1007%2F978-3-031-65203-5_85&partnerID=40&md5=bea2a5e0aa4afe65e2d153a8a6fd5d5b,Malaysia,,,,,,,,,,,,,,,,,,Asia Pacific University of Technology and Innovation,,,,,,,,,,,,,,,,,,Halimaton Hakimi - Kuala Lumpur,Anis Nabilah - Kuala Lumpur,,,,,,,,,Book chapter,Final,Scopus,2-s2.0-85202530730
"Mukhlas, Amalia (57194005955)","Ismail, Shahrinaz (57225447357)","Jaafar, Juliana (57226385965)","Talip, Bazilah A. (50862138500)","Che Mustapha Yusuf, Jawahir Che (57190969581)",,,,,,57194005955; 57225447357; 57226385965; 50862138500; 57190969581,"Advancements in Technology for Pharmaceutical Packaging: A Review of Technology, Contributions, and Applied Areas",2024,"CSR, Sustainability, Ethics and Governance",2,10.1007/978-3-031-53877-3_21,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201978320&doi=10.1007%2F978-3-031-53877-3_21&partnerID=40&md5=b7166907b8d24cdac41f974d1fc04d87,Malaysia,Malaysia,,,,,,,,,,,,,,,,,Universiti Kuala Lumpur,Asia Pacific University of Technology and Innovation,,,,,,,,,,,,,,,,,Amalia Mukhlas - Universiti Kuala Lumpur,Shahrinaz Ismail - Asia Pacific University of Technology and Innovation,Juliana Jaafar - Universiti Kuala Lumpur,Bazilah A. Talip - Universiti Kuala Lumpur,Jawahir Che Che Mustapha Yusuf - Universiti Kuala Lumpur,,,,,,Book chapter,Final,Scopus,2-s2.0-85201978320
"Jaafar, Juliana (57226385965)","Ismail, Shahrinaz (57225447357)","Hadi Mohamad, Abdul (59297322600)","Rahman, Marzilawati Abd (59297074500)","Kamarulzaman, Nur Azeema (59296704900)","Hassan, Zainah (59297074600)","Roslee, Muhammad Faizz Amin (59296831100)",,,,57226385965; 57225447357; 59297322600; 59297074500; 59296704900; 59297074600; 59296831100,Strategic Improvement Model on Document Management Process for a Non-digital Hospital,2024,"CSR, Sustainability, Ethics and Governance",0,10.1007/978-3-031-53877-3_24,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201972515&doi=10.1007%2F978-3-031-53877-3_24&partnerID=40&md5=4c5d83539adb2a08f86d71803fc5e969,Malaysia,Malaysia,Malaysia,Malaysia,,,,,,,,,,,,,,,Universiti Kuala Lumpur,Asia Pacific University of Technology and Innovation,Kuala Lumpur Hospital,Taylor's University Malaysia,,,,,,,,,,,,,,,Juliana Jaafar - Kuala Lumpur,Shahrinaz Ismail - Asia Pacific University of Technology and Innovation,Abdul Hadi Mohamad - Taylor's University Malaysia,Marzilawati Abd Rahman - Kuala Lumpur,Nur Azeema Kamarulzaman - Kuala Lumpur,Zainah Hassan - Kuala Lumpur,Muhammad Faizz Amin Roslee - Kuala Lumpur,,,,Book chapter,Final,Scopus,2-s2.0-85201972515
"Seeburn, Manjistha (59296586600)","Dada, Morakinyo (57204889058)","Choudhary, Jyoti (59296951700)",,,,,,,,59296586600; 57204889058; 59296951700,The Effect of Green Marketing Mix on Customer Psychological Attitudes and Purchase Intention Within the Beauty Industry in Mauritius,2024,"CSR, Sustainability, Ethics and Governance",0,10.1007/978-3-031-53877-3_17,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201969318&doi=10.1007%2F978-3-031-53877-3_17&partnerID=40&md5=2865022b1f3075b3f3ebb38e0b47c89c,Malaysia,,,,,,,,,,,,,,,,,,Asia Pacific University of Technology and Innovation,,,,,,,,,,,,,,,,,,Manjistha Seeburn - Kuala Lumpur,Morakinyo Dada - Kuala Lumpur,Jyoti Choudhary - Kuala Lumpur,,,,,,,,Book chapter,Final,Scopus,2-s2.0-85201969318
"Manhica, Simone Nikiwe (59296704800)","Choudhary, Jyoti (59296951700)","Dada, Morakinyo (57204889058)",,,,,,,,59296704800; 59296951700; 57204889058,Exploring Gender and Race Discrimination in Recruitment for Extractive Industries in Mozambique,2024,"CSR, Sustainability, Ethics and Governance",0,10.1007/978-3-031-53877-3_19,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201967136&doi=10.1007%2F978-3-031-53877-3_19&partnerID=40&md5=c3d286f4866470f0e54d41541d6f2aea,Malaysia,,,,,,,,,,,,,,,,,,Asia Pacific University of Technology and Innovation,,,,,,,,,,,,,,,,,,Simone Nikiwe Manhica - Kuala Lumpur,Jyoti Choudhary - Kuala Lumpur,Morakinyo Dada - Kuala Lumpur,,,,,,,,Book chapter,Final,Scopus,2-s2.0-85201967136
"Mohammadkazemi, Reza (55509932800)","Falahat, Mohammad (56940968000)",,,,,,,,,55509932800; 56940968000,Leveraging social media for business development: an empirical analysis of fan loyalty and fan expansion,2024,Cogent Business and Management,2,10.1080/23311975.2024.2393739,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201961045&doi=10.1080%2F23311975.2024.2393739&partnerID=40&md5=6d7436a03ae676394fa277b9aea26cce,Iran,Denmark,Malaysia,,,,,,,,,,,,,,,,University of Tehran,Aalborg University,Asia Pacific University of Technology and Innovation,,,,,,,,,,,,,,,,Reza Mohammadkazemi - University of Tehran,Mohammad Falahat - Asia Pacific University of Technology and Innovation,,,,,,,,,Article,Final,Scopus,2-s2.0-85201961045
"Reaz, Mohammad Tawhid (58118750100)","Ahamad, Shamsuddin (57219247254)","Ribero, James Jacob (58510890300)","Dada, Morakinyo (57204889058)",,,,,,,58118750100; 57219247254; 58510890300; 57204889058,Coping Mechanism of the People with Colour Vision Defect (CVD),2024,Lecture Notes in Networks and Systems,0,10.1007/978-3-031-67444-0_2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201955802&doi=10.1007%2F978-3-031-67444-0_2&partnerID=40&md5=89b38218aaf79966d609a11ea7ea3bcc,Bangladesh,Malaysia,,,,,,,,,,,,,,,,,University of Liberal Arts Bangladesh,Asia Pacific University of Technology and Innovation,,,,,,,,,,,,,,,,,Mohammad Tawhid Reaz - Dhaka,Shamsuddin Ahamad - Dhaka,James Jacob Ribero - Dhaka,Morakinyo Dada - Kuala Lumpur,,,,,,,Conference paper,Final,Scopus,2-s2.0-85201955802
"Dada, Morakinyo (57204889058)","Reaz, Mohammad Tawhid (58118750100)","Ribero, James Jacob (58510890300)","Eva, Nazmun Nur (59296833300)",,,,,,,57204889058; 58118750100; 58510890300; 59296833300,The Impact of Colour Vision Defects on Travel Destination Selection,2024,"CSR, Sustainability, Ethics and Governance",0,10.1007/978-3-031-53877-3_16,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201954305&doi=10.1007%2F978-3-031-53877-3_16&partnerID=40&md5=4353cd17a43ee8786d3278543ac899a9,Malaysia,Bangladesh,,,,,,,,,,,,,,,,,Asia Pacific University of Technology and Innovation,University of Liberal Arts Bangladesh,,,,,,,,,,,,,,,,,Morakinyo Dada - Kuala Lumpur,Mohammad Tawhid Reaz - Dhaka,James Jacob Ribero - Dhaka,Nazmun Nur Eva - Dhaka,,,,,,,Book chapter,Final,Scopus,2-s2.0-85201954305
Naqsh-e-Fatima (59297195900),"Dada, Morakinyo (57204889058)",,,,,,,,,59297195900; 57204889058,The Impact of Guerilla Marketing Strategies on Business Performance and Sustainable Competitive Advantage of SMEs in Pakistan,2024,"CSR, Sustainability, Ethics and Governance",0,10.1007/978-3-031-53877-3_23,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201950028&doi=10.1007%2F978-3-031-53877-3_23&partnerID=40&md5=f8795e2695ceb16916077d065ab1f349,Malaysia,,,,,,,,,,,,,,,,,,Asia Pacific University of Technology and Innovation,,,,,,,,,,,,,,,,,,null Naqsh-e-Fatima - Kuala Lumpur,Morakinyo Dada - Kuala Lumpur,,,,,,,,,Book chapter,Final,Scopus,2-s2.0-85201950028
"Sulaimi, Nur Sobirah Binti Mohammad (59296833200)","Choudhary, Jyoti (59296951700)","Dada, Morakinyo (57204889058)",,,,,,,,59296833200; 59296951700; 57204889058,Factors Affecting Graduates’ Employability Skills: Quantitative Study on Employees in Brunei,2024,"CSR, Sustainability, Ethics and Governance",1,10.1007/978-3-031-53877-3_18,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201938552&doi=10.1007%2F978-3-031-53877-3_18&partnerID=40&md5=f4ea9c84f2bf350585ea9eccc8223ef2,Malaysia,,,,,,,,,,,,,,,,,,Asia Pacific University of Technology and Innovation,,,,,,,,,,,,,,,,,,Nur Sobirah Binti Mohammad Sulaimi - Kuala Lumpur,Jyoti Choudhary - Kuala Lumpur,Morakinyo Dada - Kuala Lumpur,,,,,,,,Book chapter,Final,Scopus,2-s2.0-85201938552
"Alabri, Aamir Said Saleem (59296831000)","Dada, Morakinyo (57204889058)","Choudhary, Jyoti (59296951700)",,,,,,,,59296831000; 57204889058; 59296951700,Factors Influencing the Adoption of e-Services in Oman’s Higher Education Sector,2024,"CSR, Sustainability, Ethics and Governance",2,10.1007/978-3-031-53877-3_20,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201929309&doi=10.1007%2F978-3-031-53877-3_20&partnerID=40&md5=cad3a4be463f96010bbce382c20cbff8,Malaysia,,,,,,,,,,,,,,,,,,Asia Pacific University of Technology and Innovation,,,,,,,,,,,,,,,,,,Aamir Said Saleem Alabri - Kuala Lumpur,Morakinyo Dada - Kuala Lumpur,Jyoti Choudhary - Kuala Lumpur,,,,,,,,Book chapter,Final,Scopus,2-s2.0-85201929309
"Husna Fauzi, Nurul Izzatie (57281028100)","Musa, Zalili Binti (15762889900)",,,,,,,,,57281028100; 15762889900,HSV-Template Matching With MEESPSO Algorithm for Human Tracking in a Crowded Environment,2024,IEEE Access,0,10.1109/ACCESS.2024.3448242,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201765041&doi=10.1109%2FACCESS.2024.3448242&partnerID=40&md5=67e562ce6a42ffeafc395baf2f6ba6a2,Malaysia,Malaysia,,,,,,,,,,,,,,,,,Asia Pacific University of Technology and Innovation,Universiti Malaysia Pahang Al-Sultan Abdullah,,,,,,,,,,,,,,,,,Nurul Izzatie Husna Fauzi - Kuala Lumpur,Zalili Binti Musa - Pekan,,,,,,,,,Article,Final,Scopus,2-s2.0-85201765041
"Hu, Zhongyan (59217397300)","Chang, Yun Fah (56169176800)","Ho, Ming Kang (57208205535)",,,,,,,,59217397300; 56169176800; 57208205535,"A comparative study on the effectiveness of blended learning, physical learning, and online learning in functional skills training among higher vocational education",2024,STEM Education,0,10.3934/steme.2024015,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201567567&doi=10.3934%2Fsteme.2024015&partnerID=40&md5=01256991124cdd1a6c4b6f6195b59db3,Malaysia,China,Malaysia,Malaysia,,,,,,,,,,,,,,,Taylor's University Malaysia,Yan'an University,Taylor's University Malaysia,Asia Pacific University of Technology and Innovation,,,,,,,,,,,,,,,Zhongyan Hu - Taylor's University Malaysia,Yun Fah Chang - Taylor's University Malaysia,Ming Kang Ho - Asia Pacific University of Technology and Innovation,,,,,,,,Article,Final,Scopus,2-s2.0-85201567567
"Eriqat, Ibrahim O.A. (58112432000)","Tahir, Muhammad (57196191218)","Zulkafli, Abdul Hadi Bin (18938095100)",,,,,,,,58112432000; 57196191218; 18938095100,The impact of corporate social responsibility disclosure on corporate reputation: the moderating role of national culture in financial industries of MENA region,2024,Cogent Business and Management,5,10.1080/23311975.2024.2391120,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201533243&doi=10.1080%2F23311975.2024.2391120&partnerID=40&md5=233b19b4089b1790e3f6f9683165f419,Palestine,Malaysia,Pakistan,Malaysia,,,,,,,,,,,,,,,Al-Quds University,Asia Pacific University of Technology and Innovation,University of Turbat,Universiti Sains Malaysia,,,,,,,,,,,,,,,Ibrahim O.A. Eriqat - Abu Dis,Muhammad Tahir - University of Turbat,Abdul Hadi Bin Zulkafli - Universiti Sains Malaysia,,,,,,,,Article,Final,Scopus,2-s2.0-85201533243
"Zhang, Dangli (57195399250)","Zhao, Fuming (57222612786)","Leow, Hon Wei (57204723491)","Nguyen, Nhat Tan (57213921043)","Al-Naimi, Ahmad A. (57695981900)",,,,,,57195399250; 57222612786; 57204723491; 57213921043; 57695981900,Nexus between mineral rents and environmental sustainability: The role of economic policy uncertainty,2024,Natural Resources Forum,1,10.1111/1477-8947.12547,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201269379&doi=10.1111%2F1477-8947.12547&partnerID=40&md5=719eacacea7ef590f49c60a627483468,China,China,China,Malaysia,Malaysia,Viet Nam,Jordan,,,,,,,,,,,,Shaanxi University of Technology,Zhejiang Agriculture and Forestry University,Zhejiang Agriculture and Forestry University,Asia Pacific University of Technology and Innovation,UCSI University,Ho Chi Minh City University of Foreign Languages and Information Technology,Applied Science Private University,,,,,,,,,,,,Dangli Zhang - Shaanxi University of Technology,Fuming Zhao - Hangzhou,Hon Wei Leow - Kuala Lumpur,Nhat Tan Nguyen - Ho Chi Minh City University of Foreign Languages and Information Technology,Ahmad A. Al-Naimi - Applied Science Private University,,,,,,Article,aip,Scopus,2-s2.0-85201269379
"Kasinathan, Vinothini (57191258361)","Mustapha, Aida (57200530694)",,,,,,,,,57191258361; 57200530694,A Presentation Mining Framework: From Text Mining to to Mind Mapping,2024,Lecture Notes in Networks and Systems,1,10.1007/978-3-031-66965-1_23,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200992618&doi=10.1007%2F978-3-031-66965-1_23&partnerID=40&md5=81d5004c3da7452b6ccdc1ac4eb19e35,Malaysia,Malaysia,,,,,,,,,,,,,,,,,Asia Pacific University of Technology and Innovation,Universiti Tun Hussein Onn Malaysia,,,,,,,,,,,,,,,,,Vinothini Kasinathan - Asia Pacific University of Technology and Innovation,Aida Mustapha - Universiti Tun Hussein Onn Malaysia,,,,,,,,,Conference paper,Final,Scopus,2-s2.0-85200992618
"Margono, Hendro M. (57192269385)","Saud, Muhammad (57204564159)","Falahat, Mohammad (56940968000)",,,,,,,,57192269385; 57204564159; 56940968000,"Virtual Tutor, Digital Natives and AI: Analyzing the impact of ChatGPT on academia in Indonesia",2024,Social Sciences and Humanities Open,6,10.1016/j.ssaho.2024.101069,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200970116&doi=10.1016%2Fj.ssaho.2024.101069&partnerID=40&md5=7d36be1264d5e8f326d7f1b581aabb53,Indonesia,Indonesia,Malaysia,,,,,,,,,,,,,,,,Universitas Airlangga,Universitas Airlangga,Asia Pacific University of Technology and Innovation,,,,,,,,,,,,,,,,Hendro M. Margono - Universitas Airlangga,Muhammad Saud - Universitas Airlangga,Mohammad Falahat - Kuala Lumpur,,,,,,,,Article,Final,Scopus,2-s2.0-85200970116
"Li, Juancheng (59256687700)","Keng-Hoong, Ng Hoong (25825429600)","Kok-Chin, Khor Chin (57204545170)","Lim, Yu Hsuen (59256379700)",,,,,,,59256687700; 25825429600; 57204545170; 59256379700,Predicting Undergraduate Academic Success with Machine Learning Approaches,2024,Lecture Notes in Networks and Systems,0,10.1007/978-3-031-66965-1_15,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200946330&doi=10.1007%2F978-3-031-66965-1_15&partnerID=40&md5=eebb30cd9ae7889e70ef4e4d3c1a8715,Malaysia,Malaysia,,,,,,,,,,,,,,,,,Asia Pacific University of Technology and Innovation,Universiti Tunku Abdul Rahman,,,,,,,,,,,,,,,,,Juancheng Li - Asia Pacific University of Technology and Innovation,Ng Hoong Keng-Hoong - Kajang,Khor Chin Kok-Chin - Kajang,Yu Hsuen Lim - Asia Pacific University of Technology and Innovation,,,,,,,Conference paper,Final,Scopus,2-s2.0-85200946330
"Ismail, Shahrinaz (57225447357)","Khant, Kyi Lin (59255565500)",,,,,,,,,57225447357; 59255565500,Opinion Mining System for Influence Detection Using Machine Learning to Secure Business Reputation,2024,Lecture Notes in Networks and Systems,0,10.1007/978-3-031-66965-1_22,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200945394&doi=10.1007%2F978-3-031-66965-1_22&partnerID=40&md5=8559286e678893f3f70aa4724f0c31dd,Malaysia,China,,,,,,,,,,,,,,,,,Asia Pacific University of Technology and Innovation,Huazhong University of Science and Technology,,,,,,,,,,,,,,,,,Shahrinaz Ismail - Kuala Lumpur,Kyi Lin Khant - Wuhan,,,,,,,,,Conference paper,Final,Scopus,2-s2.0-85200945394
"Liew, Jun Yen (59256685000)","Keng-Hoong, Ng Hoong (25825429600)","Kok-Chin, Khor Chin (57204545170)","Tee, Kaiyau (59256377200)",,,,,,,59256685000; 25825429600; 57204545170; 59256377200,Evaluating Path-Finding Algorithms for Real-Time Route Recommendation System Built using FreeRTOS,2024,Lecture Notes in Networks and Systems,1,10.1007/978-3-031-66965-1_17,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200941373&doi=10.1007%2F978-3-031-66965-1_17&partnerID=40&md5=bbab3281ae1f9c0a2adb61c9be072c33,Malaysia,Malaysia,,,,,,,,,,,,,,,,,Asia Pacific University of Technology and Innovation,Universiti Tunku Abdul Rahman,,,,,,,,,,,,,,,,,Jun Yen Liew - Asia Pacific University of Technology and Innovation,Ng Hoong Keng-Hoong - Kajang,Khor Chin Kok-Chin - Kajang,Kaiyau Tee - Asia Pacific University of Technology and Innovation,,,,,,,Conference paper,Final,Scopus,2-s2.0-85200941373
"Vasudavan, Hemalata (57189242056)","Abdul Hameed, Vazeerudeen Abdul (55337123400)",,,,,,,,,57189242056; 55337123400,Unlocking Success: Key Information System Factors for Smart Governance,2024,CEUR Workshop Proceedings,0,nan,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200764300&partnerID=40&md5=c7a69a34032f8a230bd5c031f9e15dc6,Malaysia,Malaysia,,,,,,,,,,,,,,,,,Asia Pacific University of Technology and Innovation,Asia Pacific University of Technology and Innovation,,,,,,,,,,,,,,,,,Hemalata Vasudavan - Kuala Lumpur,Vazeerudeen Abdul Abdul Hameed - Kuala Lumpur,,,,,,,,,Conference paper,Final,Scopus,2-s2.0-85200764300
